"Name";"EvidenceFor";"Type";"isPresent";"Source";"Label";"Description"
"Exp_UPA00031";"UPA00031";"EXPERIMENTATION";"T";"";"Exp_UPA00031";"L-histidine biosynthesis"
"Exp_UPA00035";"UPA00035";"EXPERIMENTATION";"T";"";"Exp_UPA00035";"L-tryptophan biosynthesis"
"Exp_UPA00047";"UPA00047";"EXPERIMENTATION";"T";"";"Exp_UPA00047";"L-isoleucine biosynthesis"
"Exp_UPA00048";"UPA00048";"EXPERIMENTATION";"T";"";"Exp_UPA00048";"L-leucine biosynthesis"
"Exp_UPA00049";"UPA00049";"EXPERIMENTATION";"T";"";"Exp_UPA00049";"L-valine biosynthesis"
"Exp_UPA00050";"UPA00050";"EXPERIMENTATION";"T";"";"Exp_UPA00050";"L-threonine biosynthesis"
"Exp_UPA00068";"UPA00068";"EXPERIMENTATION";"T";"";"Exp_UPA00068";"L-arginine biosynthesis"
"Exp_UPA00098";"UPA00098";"EXPERIMENTATION";"T";"";"Exp_UPA00098";"L-proline biosynthesis"
"Exp_UPA00121";"UPA00121";"EXPERIMENTATION";"T";"";"Exp_UPA00121";"L-phenylalanine biosynthesis"
"Exp_UPA00122";"UPA00122";"EXPERIMENTATION";"T";"";"Exp_UPA00122";"L-tyrosine biosynthesis"
"Exp_UPA00133";"UPA00133";"EXPERIMENTATION";"T";"";"Exp_UPA00133";"L-alanine biosynthesis"
"Exp_UPA00134";"UPA00134";"EXPERIMENTATION";"T";"";"Exp_UPA00134";"L-asparagine biosynthesis"
"Exp_UPA00135";"UPA00135";"EXPERIMENTATION";"T";"";"Exp_UPA00135";"L-serine biosynthesis"
"Exp_UPA00136";"UPA00136";"EXPERIMENTATION";"T";"";"Exp_UPA00136";"L-cysteine biosynthesis"
"Exp_UPA00288";"UPA00288";"EXPERIMENTATION";"T";"";"Exp_UPA00288";"glycine biosynthesis"
"Exp_UPA00404";"UPA00404";"EXPERIMENTATION";"T";"";"Exp_UPA00404";"L-lysine biosynthesis"
"Exp_UPA00633";"UPA00633";"EXPERIMENTATION";"T";"";"Exp_UPA00633";"L-glutamate biosynthesis"
"Exp_UPA00051";"UPA00051";"EXPERIMENTATION";"T";"";"Exp_UPA00051";"L-methionine biosynthesis via de novo pathway"
"Exp_UPA01012";"UPA01012";"EXPERIMENTATION";"T";"";"Exp_UPA01012";"L-aspartate biosynthesis"
"Exp_UPA01013";"UPA01013";"EXPERIMENTATION";"T";"";"Exp_UPA01013";"L-glutamine biosynthesis"
